epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,405.425,0.62904,0.68677,1.0021,0.91257,0.83176,0.90825,0.74443,0.68114,0.61707,0.98196,0.000665083,0.000665083,0.000665083
2,812.956,0.61636,0.54302,0.9873,0.88949,0.85152,0.91314,0.77082,0.59637,0.67145,0.93155,0.00130538,0.00130538,0.00130538
3,1203,0.59254,0.51338,0.97385,0.92817,0.88443,0.94572,0.82877,0.54184,0.45288,0.9027,0.00191928,0.00191928,0.00191928
4,1638.49,0.57375,0.49105,0.96552,0.92317,0.89077,0.94848,0.8349,0.51604,0.47544,0.8951,0.0018812,0.0018812,0.0018812
5,2024.94,0.54921,0.46416,0.95324,0.92849,0.88796,0.94824,0.84364,0.50035,0.43362,0.88754,0.0018416,0.0018416,0.0018416
6,2435.47,0.5301,0.43369,0.94309,0.93708,0.90583,0.95725,0.84811,0.51227,0.41492,0.87441,0.001802,0.001802,0.001802
7,2837.96,0.5236,0.42673,0.94181,0.93092,0.90555,0.95968,0.86051,0.47799,0.3924,0.88365,0.0017624,0.0017624,0.0017624
8,3249.93,0.50749,0.41089,0.93508,0.94865,0.90424,0.96073,0.87036,0.45532,0.37465,0.86665,0.0017228,0.0017228,0.0017228
9,3648,0.50094,0.39719,0.92959,0.95227,0.91157,0.96564,0.8771,0.44874,0.35321,0.85627,0.0016832,0.0016832,0.0016832
10,4076.4,0.49368,0.3901,0.92533,0.94965,0.91631,0.96497,0.87743,0.44442,0.34862,0.85974,0.0016436,0.0016436,0.0016436
11,4470.77,0.48278,0.37951,0.91976,0.95614,0.91951,0.96963,0.8843,0.44012,0.33574,0.842,0.001604,0.001604,0.001604
12,4892.32,0.47825,0.37256,0.91752,0.95396,0.91797,0.96916,0.88967,0.42474,0.32917,0.85315,0.0015644,0.0015644,0.0015644
13,5293.86,0.47577,0.36858,0.91569,0.9516,0.91923,0.96961,0.88416,0.43071,0.33187,0.85068,0.0015248,0.0015248,0.0015248
14,5700.73,0.47017,0.3665,0.91369,0.9485,0.92114,0.96938,0.88962,0.42622,0.32676,0.84958,0.0014852,0.0014852,0.0014852
15,6113.74,0.46564,0.35501,0.91257,0.95098,0.93038,0.97218,0.89671,0.41435,0.30719,0.84001,0.0014456,0.0014456,0.0014456
16,6509.33,0.46404,0.35274,0.90883,0.95652,0.92875,0.97235,0.89283,0.41835,0.31032,0.84375,0.001406,0.001406,0.001406
17,6910.8,0.45587,0.34402,0.90706,0.96292,0.92747,0.97419,0.89988,0.40523,0.29998,0.84024,0.0013664,0.0013664,0.0013664
18,7315.46,0.4579,0.34733,0.90897,0.95569,0.93456,0.97548,0.89964,0.40288,0.29759,0.83517,0.0013268,0.0013268,0.0013268
19,7722.1,0.44874,0.33756,0.9027,0.95167,0.93582,0.97494,0.90175,0.40081,0.2984,0.83917,0.0012872,0.0012872,0.0012872
20,8106.31,0.45043,0.33475,0.90378,0.95587,0.93661,0.97543,0.90266,0.40072,0.28958,0.8393,0.0012476,0.0012476,0.0012476
21,8894.58,0.4429,0.32861,0.90025,0.95145,0.93795,0.97533,0.90035,0.4021,0.30298,0.83449,0.001208,0.001208,0.001208
22,9263.04,0.44167,0.32499,0.89771,0.95644,0.93193,0.97461,0.90405,0.39719,0.28675,0.8273,0.0011684,0.0011684,0.0011684
23,9644.16,0.43938,0.32268,0.89871,0.95889,0.93392,0.9768,0.90605,0.39622,0.28496,0.83783,0.0011288,0.0011288,0.0011288
24,10016.1,0.43577,0.31588,0.89572,0.9593,0.93582,0.97675,0.90779,0.3899,0.28036,0.83037,0.0010892,0.0010892,0.0010892
25,10384.2,0.43142,0.31454,0.89401,0.9607,0.94017,0.97781,0.90872,0.39326,0.27908,0.82072,0.0010496,0.0010496,0.0010496
26,10789.8,0.43077,0.31228,0.89063,0.95729,0.94471,0.97831,0.90797,0.3938,0.27623,0.82799,0.00101,0.00101,0.00101
27,11184.3,0.42538,0.30802,0.89425,0.96098,0.93974,0.97908,0.90917,0.38701,0.2758,0.83174,0.0009704,0.0009704,0.0009704
28,11565.6,0.42071,0.30448,0.89021,0.96419,0.93546,0.97786,0.91242,0.38253,0.27022,0.81962,0.0009308,0.0009308,0.0009308
29,14102.8,0.42191,0.30278,0.89215,0.95961,0.94543,0.97987,0.91422,0.38013,0.27141,0.82673,0.0008912,0.0008912,0.0008912
30,14464.4,0.41954,0.29761,0.88686,0.95928,0.93965,0.97898,0.91378,0.38087,0.2689,0.81822,0.0008516,0.0008516,0.0008516
31,14824.1,0.41988,0.29823,0.8855,0.96161,0.94239,0.98031,0.91528,0.37787,0.26033,0.81535,0.000812,0.000812,0.000812
32,15191.6,0.41584,0.29302,0.88627,0.96324,0.94072,0.97941,0.91462,0.37861,0.2597,0.81897,0.0007724,0.0007724,0.0007724
33,15557.6,0.41368,0.29123,0.88437,0.96029,0.94516,0.98092,0.91782,0.37085,0.25658,0.81986,0.0007328,0.0007328,0.0007328
34,15968.4,0.40981,0.2862,0.88415,0.96236,0.94549,0.98059,0.9171,0.374,0.25521,0.81895,0.0006932,0.0006932,0.0006932
35,16454.7,0.40726,0.28382,0.884,0.96416,0.94443,0.98031,0.9185,0.36963,0.25554,0.81317,0.0006536,0.0006536,0.0006536
36,16895.2,0.40355,0.27988,0.88101,0.96329,0.94743,0.98152,0.92087,0.36609,0.25038,0.81977,0.000614,0.000614,0.000614
37,17317.4,0.40058,0.27688,0.88179,0.96559,0.94298,0.98056,0.91985,0.36959,0.2502,0.82234,0.0005744,0.0005744,0.0005744
38,17736.9,0.39893,0.27394,0.88107,0.96588,0.94625,0.98161,0.92105,0.36767,0.25248,0.82315,0.0005348,0.0005348,0.0005348
39,18170.5,0.39659,0.27269,0.87705,0.96357,0.94724,0.98169,0.92196,0.36602,0.24861,0.81428,0.0004952,0.0004952,0.0004952
40,18576.2,0.39443,0.26964,0.87699,0.96291,0.94715,0.98189,0.92052,0.36604,0.24689,0.813,0.0004556,0.0004556,0.0004556
41,19014.7,0.37214,0.2467,0.85224,0.96176,0.94383,0.97936,0.91773,0.37345,0.25439,0.81571,0.000416,0.000416,0.000416
42,19418.5,0.36441,0.23783,0.84872,0.96267,0.94676,0.97995,0.92167,0.36756,0.24615,0.81576,0.0003764,0.0003764,0.0003764
43,19831.3,0.35959,0.23415,0.84557,0.95981,0.95036,0.98045,0.9217,0.36754,0.24942,0.81903,0.0003368,0.0003368,0.0003368
44,20235.7,0.35665,0.23011,0.84624,0.96183,0.95024,0.98124,0.92391,0.36509,0.24262,0.81578,0.0002972,0.0002972,0.0002972
45,20638.8,0.35432,0.22547,0.84471,0.96376,0.94982,0.98201,0.9254,0.36139,0.24067,0.81457,0.0002576,0.0002576,0.0002576
46,21031,0.35136,0.22206,0.84313,0.96528,0.94788,0.98207,0.92538,0.3619,0.23909,0.81376,0.000218,0.000218,0.000218
